SRR1170742,SRR1170744,SRR1170762,SRR1174772,SRR1174773,SRR1174777,SRR1179197,SRR1179198,SRR1179199,SRR1171629,SRR1171630,SRR1171631
LOC_Os01g02080.MSUR7,358,80,1592,1615,3143,26,1750,418,15,4685,381,7530
LOC_Os01g02090.MSUR7,1685,1135,11053,17761,17283,344,15537,23770,2613,7481,12310,20111
LOC_Os01g02110.MSUR7,0,22,12,0,58,10,160,122,94,0,30,9
LOC_Os01g02120.MSUR7,0,0,2,0,2,4,0,0,0,0,164,1
LOC_Os01g02130.MSUR7,244,32,47,904,410,2,408,90,80,6785,1970,133
LOC_Os01g02139.MSUR7,73,355,2646,1360,7625,99,418,3514,205,302,4837,10799
LOC_Os01g02150.MSUR7,294,1090,11466,4403,33626,460,1734,18950,1139,562,4962,71999
LOC_Os01g02160.MSUR7,0,22,604,0,1452,54,2,564,24,6,22,1304
LOC_Os01g02170.MSUR7,240,94,3462,1405,2786,36,616,869,73,1212,1297,4238
LOC_Os01g02180.MSUR7,584,474,4446,4268,5694,90,1974,6481,291,2586,4893,6835
LOC_Os01g02190.MSUR7,2,8,12,15,227,0,23,102149,9,22,268,18092
LOC_Os01g02200.MSUR7,1924,1356,10175,13187,12852,250,3584,3815,2626,9508,24901,10866
LOC_Os01g02250.MSUR7,0,0,25,0,4,4,2,0,0,2,4,29
LOC_Os01g02270.MSUR7,0,0,1,0,0,0,16,10,11,4,4,54
LOC_Os01g02280.MSUR7,2,0,1,0,0,0,10,4,0,0,0,2
LOC_Os01g02290.MSUR7,2,367,190,61,684,2,2413,226,303,354,1644,234
LOC_Os01g02300.MSUR7,12,455,609,58,822,4,204,1151,518,605,1427,698
LOC_Os01g02310.MSUR7,46,194,271,58,108,2,1285,33,29,74,1371,137
LOC_Os01g02320.MSUR7,432,221,3076,1940,451,28,586,105,12,343,383,2259
LOC_Os01g02334.MSUR7,10,20,232,1756,4276,73,41,166,13,176,1306,2781
LOC_Os01g02350.MSUR7,289,47,1606,484,1790,7,38,77,20,216,2986,1258
