/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179197.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179198.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/minuta/SRR1179199.sra.uniq.bam
2522	8521	475
447	554	94
465	534	81
6	186	186
10	872	255
42	525	30
117	787	25
619	2631	206
2648	2622	422
4771	8046	826
280	9091	14
254	278	24
0	0	0
378	481	153
37891	16320	1506
937	932	93
5135	3275	352
720	1262	130
4	230	54
2	114	20
0	0	0
200	4515	139
1888	7192	1034
180	6786	14
5839	5888	308
236	1761	6
6	922	10
0	65	2
162188	21079	5500
19517	14175	1088
7049	9964	1164
1318	150	89
130	39	5
234	12	30
826	50	2
2	16	0
99	45	24
5220	12542	1090
7	610	2
9321	7937	383
3564	2349	155
0	0	0
165	969	123
2805	11627	794
10890	21031	3345
2068	8632	446
54	11309	14
960	6460	151
691	8343	267
16	195	38
0	25	0
160	616	69
0	0	0
915	442	133
79	1062	119
0	0	0
0	1	0
36258	88630	3730
0	2	0
4	9	0
19533	12123	1350
157	141	122
10269	35239	1553
770	817	870
4108	3542	313
2543	2540	22
158	1106	26
0	246	0
9281	7349	451
4156	14789	1873
4018	7435	1080
9	26	1
14893	11360	1184
10590	39019	3655
17580	9560	16838
3	56	8
1179	1160	65
12	244	18
1	189	3
464	31810	406
19	2	4
80	466	2
910	71	2
61	561	10
2	10	0
532	1751	250
1667	5548	717
0	2	0
10021	17542	1363
0	0	0
41959	11697	332
1449	2898	273
5374	6054	432
3092	14232	904
0	54	0
0	2	0
11300	21705	1744
4816	11945	1541
4706	3888	38
419	2273	53
0	31	0
0	0	0
3130	29931	976
153	5274	96
12607	8429	1606
4541	2541	234
113	1	10
55534	1210	18
104	0	0
249	54	3
774	412	3663
3925	9393	463
13	0	0
0	0	0
10891	3642	395
24118	33139	1714
1239	2925	101
4794	11109	3800
27558	8141	12
234267	120770	4410
230641	102183	2708
30	4	0
7994	8662	708
0	5	0
0	2	0
36	31	3
0	4	0
0	19	0
0	123	0
0	2	0
0	5	0
0	0	0
431	560	279
7809	8921	320
14	100	6
0	0	0
12	82	95
1087	4345	361
44	4980	11
2289	4140	295
2684	5688	682
3	5	1
9350	21364	1076
704	1204	87
114	676	53
7455	5484	1112
365	2670	243
2	2	0
193	327	58
411	4387	163
0	252	0
0	123	0
0	1	0
0	56	0
0	33	0
0	0	0
0	78	0
0	91	0
0	6	0
6	68	2
2	2	0
12	250	0
1	36	2
6	2	0
7847	12102	1828
47	15	6
0	184	0
1	0	0
14980	16667	404
3755	2317	167
20	1492	2
17320	3673	6600
4756	553	4
0	0	0
183	4	149
0	12	24
0	0	2
1768	212	67
5462	7307	973
3866	2204	347
2158	5447	230
0	0	0
20	188	2
218	92	33
4	2	45
0	4	1
879	138700	2302
23423	43106	3103
2	0	4
3448	1383	109
39	31	7
0	4	0
14	35	3
3670	3568	30
2	30	0
4708	5900	362
5068	5790	468
2660	10137	432
1774	4504	373
2	7945	0
28628	34177	6121
1394	1230	145
82	22860	28
12184	1160	20
4	287	8
0	0	0
379	1798	203
20	205	6
8215	10616	2416
0	40	3
31132	92450	16480
14	18	18
352	877	56
11737	38363	2448
3	32	4
1375	1050	909
20313	78622	7889
28805	45512	7300
15149	31553	2962
0	10	2
2	0	0
0	0	0
52	24	4
28194	22393	4452
2007	12128	182
170	516	18
