IDENTIFIER	log2FoldChange
loc_os03g08380.1|pacid:24126761	1.81807497974991
loc_os03g08690.1|pacid:24128381	-5.58193396786728
loc_os03g09300.1|pacid:24126071	-2.98157142580476
loc_os03g09810.1|pacid:24121758	-3.53535738204659
loc_os03g10540.1|pacid:24127220	-6.91928758171893
loc_os03g10570.1|pacid:24122356	-3.15118218658133
loc_os03g10870.1|pacid:24125696	-1.0283483985711
loc_os03g11110.1|pacid:24124384	1.36682440803854
loc_os03g11230.1|pacid:24127316	1.08033127203497
loc_os03g11290.1|pacid:24123334	-1.3518602318854
loc_os03g11810.1|pacid:24126167	4.38545293395507
loc_os03g11819.1|pacid:24123246	3.95687372490767
loc_os03g11840.1|pacid:24127996	10.6625418052782
loc_os03g13325.1|pacid:24122054	3.56683435784729
loc_os03g13579.1|pacid:24125353	3.12585261138689
loc_os03g13984.1|pacid:24125430	4.05267550196934
loc_os03g14140.1|pacid:24126578	-4.1951021963316
loc_os03g14310.1|pacid:24127150	-4.09093367537599
loc_os03g14334.1|pacid:24126530	1.83326246582266
loc_os03g14730.1|pacid:24126433	1.56632132748575
loc_os03g14990.1|pacid:24128175	-1.02824025693118
loc_os03g15220.1|pacid:24125689	2.36301385064801
loc_os03g15760.1|pacid:24128032	3.6183205387889
loc_os03g16230.1|pacid:24127568	3.11231191274961
loc_os03g16660.1|pacid:24122860	4.39622812410572
loc_os03g17060.1|pacid:24126702	-1.12288153727358
loc_os03g17380.1|pacid:24128327	-3.73268270386286
loc_os03g17460.1|pacid:24126014	-5.51317375964949
loc_os03g17670.1|pacid:24124636	-1.21552898121452
loc_os03g18230.1|pacid:24126188	5.28131102920085
loc_os03g18250.1|pacid:24124639	4.54525495470136
loc_os03g18480.1|pacid:24122972	-4.33077514398062
loc_os03g19670.1|pacid:24126138	-2.44930032808464
loc_os03g19700.1|pacid:24127188	-1.2219368086883
loc_os03g19940.1|pacid:24125262	1.36794156309809
loc_os03g20880.1|pacid:24127531	-4.32468324339439
loc_os03g21300.1|pacid:24121789	3.28938253612878
loc_os03g21310.1|pacid:24121995	6.71201025798525
loc_os03g21700.1|pacid:24128224	-4.05565343808733
loc_os03g22010.1|pacid:24127826	-4.05574413125543
loc_os03g22190.1|pacid:24122648	2.31088735747918
loc_os03g22610.2|pacid:24127905	1.00743108392963
loc_os03g22620.1|pacid:24123730	4.62074929548426
loc_os03g24020.1|pacid:24123200	1.64551710558043
loc_os03g24430.1|pacid:24121911	-2.88730965990096
loc_os03g24630.1|pacid:24125892	2.89801729975264
loc_os03g24710.1|pacid:24126303	5.97007699755103
loc_os03g24760.1|pacid:24122273	3.52583372528597
loc_os03g24810.1|pacid:24128136	4.07370421159891
loc_os03g25120.1|pacid:24124510	2.93496520021294
loc_os03g25280.1|pacid:24127197	3.8722390915595
loc_os03g25490.1|pacid:24127169	2.53776668384478
loc_os03g26280.1|pacid:24124868	4.83496834340934
loc_os03g26590.1|pacid:24125976	-3.60053823973313
loc_os03g26770.1|pacid:24121805	-3.96423438054138
loc_os03g26840.1|pacid:24127494	-4.930991039045
loc_os03g26920.1|pacid:24127727	-2.98040110027569
loc_os03g27054.1|pacid:24128027	-3.64224435810477
loc_os03g27850.1|pacid:24125375	2.15572093196154
loc_os03g28250.1|pacid:24128416	4.42934118753539
loc_os03g29584.1|pacid:24121978	-5.87219442463643
loc_os03g30130.3|pacid:24122491	-1.05476439716378
loc_os03g30150.1|pacid:24128325	2.57444711833593
loc_os03g31044.2|pacid:24128340	-5.58860139413007
loc_os03g31280.1|pacid:24124572	-2.48585823631669
loc_os03g32200.1|pacid:24128047	4.23066707852062
loc_os03g32302.1|pacid:24126222	6.41107471480028
loc_os03g32330.1|pacid:24127239	1.66747952222384
loc_os03g33570.1|pacid:24125632	9.3527614374872
loc_os03g35950.1|pacid:24127590	4.09103117987455
loc_os03g36530.1|pacid:24123053	-2.03801846999872
loc_os03g37878.1|pacid:24124916	4.31738266607861
loc_os03g37960.1|pacid:24123121	-2.91934150936676
loc_os03g38040.1|pacid:24126393	-4.18810025621078
loc_os03g38720.1|pacid:24125098	5.47185730127332
loc_os03g39040.1|pacid:24125267	-3.38880841840065
loc_os03g39100.1|pacid:24125194	3.73229253779862
loc_os03g39740.2|pacid:24126842	-2.49454239865104
loc_os03g39830.1|pacid:24124514	1.05174677525143
loc_os03g39910.1|pacid:24125344	-3.26713963940667
loc_os03g41120.1|pacid:24122517	-2.26856179985281
loc_os03g41280.1|pacid:24127653	-5.11449409096105
loc_os03g41438.1|pacid:24121848	2.3914937244273
loc_os03g41470.1|pacid:24123555	4.231704863806
loc_os03g41820.1|pacid:24125238	9.50527985743243
loc_os03g41920.1|pacid:24127326	2.66868757824437
loc_os03g41932.1|pacid:24122188	4.46331085738582
loc_os03g42190.1|pacid:24126738	6.06297861195091
loc_os03g42430.1|pacid:24122680	-2.25291323669489
loc_os03g42600.1|pacid:24122827	1.72802309761933
loc_os03g42860.1|pacid:24123984	-3.93992155390975
loc_os03g42920.1|pacid:24123813	3.20324718847044
loc_os03g43020.1|pacid:24128581	-1.41870262081254
loc_os03g43114.1|pacid:24127938	-2.92897570206443
loc_os03g44636.1|pacid:24125221	3.91531822524854
loc_os03g44710.2|pacid:24122128	1.66051149152211
loc_os03g44880.1|pacid:24122884	-4.29033166222408
loc_os03g44920.1|pacid:24127593	-3.81350899267532
loc_os03g44950.1|pacid:24126084	5.43679802924395
loc_os03g45120.1|pacid:24124118	-4.84071510540002
loc_os03g45220.1|pacid:24126190	4.00200294824192
loc_os03g45779.1|pacid:24123182	3.91067427194698
loc_os03g46290.1|pacid:24122684	-3.67084151724912
loc_os03g46430.1|pacid:24123260	3.07391525388346
loc_os03g46490.1|pacid:24125145	-2.40618322371535
