/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174772.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174773.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/glumipatula/SRR1174777.sra.uniq.bam
6	8318	47
0	2	0
0	55	0
0	49	0
2	0	0
0	0	0
2	4	0
0	3	141
427	5863	53
113	416	6
2	0	0
0	2	0
79	24	0
2728	1826	34
0	1	0
5685	8336	108
23241	25666	416
4863	1224	90
332	11461	75
34353	9934	92
5798	4913	101
9748	7712	75
1100	2440	32
2459	2776	58
221	318	0
1821	15971	219
4	7	0
34	190	2
1	16	0
198	228	0
330	2148	12
53779	19024	220
5610	11923	161
38568	16096	94
3	6	72
0	0	0
5610	77	6
5	3	0
3	4	0
1163	3226	173
2588	4262	32
40615	3354	88
45835	14287	126
6773	678	96
2317	1348	13
1511	1198	9
234	0	0
6	98	2
576	6499	156
6642	52742	378
844	1504	27
141	334	2
648	1118	0
0	2	0
10968	4708	78
9	510	2
65	17	4
1494	8324	201
2414	1412	13
336	383	8
94	640	6
64	1230	18
548	686	66
24	362	4
548	1688	44
4180	2161	34
9158	10782	125
666	1073	76
0	2	0
0	0	0
2906	2233	35
22924	18981	253
6174	5578	63
9146	4475	74
2237	5538	32
4	24	8
136	2578	24
5	3	0
112	3956	20
4690	27866	646
276	2193	106
3172	3326	40
5965	30951	267
0	1013	8
0	8	0
53022	42029	180
33760	21160	136
27466	18235	276
8114	6615	133
5252	2665	48
351	5302	2
2461	5620	8
0	2	0
53	9	2
5302	2517	94
234	1378	16
20390	12908	259
2713	4527	104
0	0	0
267	479	72
4869	9593	122
25937	35784	1037
2260	2155	45
1709	4999	93
2282	12227	108
16253	6521	56
249	442	13
0	8	0
715	1758	14
6	2	0
2363	746	12
401	1059	249
4	9	0
32	179	0
27927	78428	873
1	0	1
5	8	0
19222	7803	136
91	229	4
19558	34866	503
2	3	3
10694	6859	68
1022	19107	216
1300	20071	289
0	81	4
11644	7781	77
13479	18872	360
14277	16471	188
44	100	0
17284	17677	142
18974	71156	630
36469	17213	706
6	34	4
3038	3061	42
114	419	14
6	11	20
1022	8063	52
275	214	2
2261	2156	18
19	46	168
1301	1902	4
5	21	0
782	1371	23
3400	4720	62
0	0	0
6494	14731	562
1	0	0
82681	15855	264
3297	2401	58
6289	10520	96
5844	13869	214
0	271	483
0	0	0
16249	13357	389
14987	14326	168
51079	8295	142
1368	2042	48
0	10	0
0	1	0
2125	11164	175
288	718	8
21795	8562	140
7193	5334	46
134	33	0
28858	10711	22
1	39	0
12	252	0
12	48	2
20614	54559	209
4	7	0
25	3	0
80893	13162	282
14138	30169	338
2757	4288	40
9934	12921	165
56372	17218	166
251199	170888	1722
245815	163304	1686
194	5	0
10386	11624	194
258	133	7
33	55	0
0	0	0
2	2	0
16	9	0
0	149	0
0	0	0
0	0	0
0	8	0
4065	2887	34
3061	2564	26
20	178	14
2	4	0
12	82	46
2730	4876	56
9	13	0
3432	3254	24
13361	18174	134
1031	299	0
9051	9153	127
1023	1157	10
414	272	32
6439	6945	66
1711	7555	47
8	43	2
22	547	4
927	6783	326
1	29	0
0	39	0
0	0	0
0	0	0
0	5	0
2	0	0
0	0	0
0	1	0
2	8	4
0	0	0
0	0	0
4	16	0
2	2	0
0	0	0
10313	8875	165
15	1	0
46	6	0
28	2	0
969078	75232	1386
2153	2553	40
167	109	0
17980	6335	139
5015	1687	16
0	24	0
39	41	54
18	112	2
0	4	18
240	939	16
18206	19005	284
13878	14019	162
4541	5541	91
0	0	0
160	3114	2
892	706	6
6	430	212
35	2	0
4262	155265	925
36453	45337	662
0	0	9
3457	4473	16
106	252	0
4	2	4
0	0	0
4237	11454	76
2	14	0
13678	8270	109
4315	5282	74
6404	10998	106
6061	6986	72
10	5014	26
35386	26041	544
4698	4443	109
11	63	2
6008	1425	14
34	541	2
24	2	0
1730	1893	41
14	21	8
9631	12259	200
0	168	301
46521	83251	1357
237	451	6
450	1287	12
6206	10206	108
357	99	4
5831	5641	60
54339	62117	843
21729	27300	572
21734	49964	610
0	51	4
14	0	0
0	0	0
84	11	1
33667	44503	604
15893	27148	137
79	54	0
0	0	0
5	0	0
21	0	0
107	0	0
0	0	0
0	0	0
2	0	0
251	23	2
11005	15176	238
7486	270921	4604
1378	4029	98
14223	16042	328
5686	33382	276
0	1	0
155	2647	302
2041	7314	154
1601	2411	22
5610	6314	18
0	6	0
1603	6547	12
13145	18611	393
19622	12534	158
972	707	56
30950	19515	164
6	1	0
1671	3980	33
138	377	14
22	487	11
4	12	2
1539	1419	24
0	3	0
29916	30381	328
5746	4087	237
31376	25486	317
15670	15619	258
4347	4512	64
2	0	0
102	4	0
0	0	0
1409	1760	8
3487	1961	40
7086	12054	78
4428	6171	30
1	8	0
0	4	298
221	547	1203
309	310	11
4641	3289	58
2828	1464	14
4003	4219	98
171	629	1
17	366	1
6	77	0
3903	12155	720
11493	25833	344
2	1274	14
15618	18673	276
7087	9918	94
691	815	16
1257	15577	191
10415	8041	52
842	468	2
168	181	0
4788	4178	38
23945	20416	294
2849	3747	42
8153	10169	202
100	223	0
112	605	49
4146	3052	122
32230	55156	384
8640	24181	244
7769	12836	85
21813	22029	520
84	32	2
2652	3410	54
1303	1271	30
236	229	6
36687	44769	856
1210	1968	33
4155	6408	70
2	4	0
26334	10842	81
0	0	0
196	542	14
0	3	0
10885	6479	122
2568	2339	0
2766	2068	66
7469	11608	132
0	0	6
684	104	23
2	1	0
4	14	0
24	24	0
4818	4766	54
54296	63635	705
12	4	1
576	5818	375
6	100	2
0	20	148
4278	5884	102
8212	10168	240
19424	15890	96
17405	18063	198
7906	24929	185
15	14	0
0	1	0
853	2552	36
8	243	2
19500	21993	72
1	0	0
16999	26676	357
21	260	156
5021	7895	154
345	1259	4
0	2	0
1813	505	4
5	23	121
0	0	0
34	1077	20
0	1	0
2	132	23
22086	44391	496
50756	105028	1038
19817	29205	1288
3730	9198	170
138	452	0
1582	2798	50
5747	9499	82
2548	5095	264
3734	12708	301
21002	29342	518
13711	5866	28
11	0	1
715	2381	8
8000	6005	89
6150	18976	178
0	43	0
727	456	3
2266	1863	14
2422	3032	31
872	1604	15
3748	2711	34
2	8	0
60680	46865	297
1019	708	18
213507	175125	1922
10087	9478	123
44330	65730	1346
4352	25534	70
83768	14436	104
32108	54373	454
7040	4552	59
11093	16036	184
446	394	9
3558	4168	66
3	154	2
67094	24454	910
12811	6415	130
124	861	2
1	25	0
0	3	0
25755	55112	867
786	2866	30
0	1	0
0	0	0
0	0	0
2354	62813	1597
596	2538	27
48340	86803	1127
107	147	0
2749	3105	54
0	275	0
192	720	16
6	50	0
122	96	0
0	4	1
2	102	0
2	269	841
11006	25818	127
4776	208	23
1961	935	6
2490	6975	162
110	5	0
1972	3100	34
0	3	0
562	176	6
10918	7045	82
0	0	0
0	2	2
0	0	0
611	1599	24
0	0	0
0	0	0
408	280	2
1412	466	4
1679	964	21
16	0	0
0	2	2
8	1591	17
0	4	0
0	3	2
16	6	2
5089	959	30
679	43	2
21656	26874	372
1196	2864	136
2679	21195	527
4	5	0
0	3	0
6	8	0
3189	38935	720
0	0	0
0	0	0
143281	30007	1242
3	204	0
80	104	0
3375	1725	11
17252	6622	116
10953	14633	54
0	965	8
2299	3247	39
262	473	3
0	0	0
0	0	0
0	0	0
0	6	5
0	0	0
0	0	42
4	0	0
0	15	9
4856	2428	2690
0	2	0
4	15	0
11758	9878	114
7148	2349	17
14859	24826	292
402	1172	29
2058	482	79
24	3548	84
0	0	0
18	36	0
0	0	0
3007	746	54
0	0	0
1	23	4
0	3862	46
0	1	2
8	8	0
12	16	2
0	0	0
136	253	4
310	239	8
4485	5923	96
5426	7578	164
0	16	0
14	216	0
24642	34510	1110
13728	12660	486
821	4184	68
1353	4123	40
98	228	2
30	17	0
1455	1355	10
0	0	0
0	0	0
4287	315	4
2038	3990	4
301	710	4
3	796	5
2	9	0
1214295	328000	792
184	3121	0
3468	5950	94
82	419	1
82	3	2
0	0	0
3435	1838	42
2151	8047	100
0	0	0
24542	86535	1074
78	1231	17
4	62	2
1579	3419	118
79	8	0
123	365	20
9825	2879	52
0	0	0
4897	4065	9
2	62	0
0	53	81
4	0	0
0	0	0
32	10	4
0	0	0
13535	19758	54
9052	4131	18
0	0	0
1058	200	6
0	1	0
1269	312	4
0	0	0
0	7	0
108	0	0
18	3	0
753	4569	30
0	0	0
59	38	0
0	806	138
0	0	0
0	0	0
0	0	0
17263	12076	30
8391	15307	169
35	117	0
5875	2286	86
0	0	0
149	172	4
3814	4098	47
0	28	0
2504	1905	79
1529	1510	6
12	4	0
847	605	12
3357	9263	166
0	1071	8
0	0	0
4	147	668
20	962	158
0	0	0
772	5817	49
0	42	0
0	4	0
0	2252	28
0	0	0
0	9	0
530	2099	1300
0	93	0
284	1728	10
9086	10312	58
317	2	5
22887	37534	497
0	0	0
1970	1133	16
20201	41649	392
1	0	0
13	308	7
119	1014	13
30960	59059	391
0	0	0
11	527	125
0	0	0
7634	8919	130
30957	4964	102
34694	49526	620
25064	22477	306
628	372	2
3	4	0
6680	27641	170
6	60	3
3	32	0
45	215	353
3964	2520	53
133	0	0
210	1053	61
7	10	0
0	42	2
0	0	4
0	192	2
0	0	0
0	4	0
0	0	0
0	0	0
0	2	0
0	0	0
0	12	0
1	1	0
0	3	0
0	4	0
48756	22018	160
1	5	0
5489	8000	160
5406	6698	62
2	44	0
14	4	2
0	0	2
0	2	0
0	1	0
8307	7166	100
0	0	0
654	6063	206
100	1607	1286
0	0	0
12930	4491	20
3520	940	0
63882	287274	3995
0	2	0
0	0	0
0	0	0
17	54	0
0	0	0
0	0	0
10	189	13
89	62	4
0	0	0
280	577	80
1178	33938	67
1243	1719	14
70	306	14
5305	3948	56
2663	4054	26
0	0	0
0	0	0
1985	1632	8
58996	132925	1522
4450	8647	126
17545	5016	98
76948	73198	2036
283	51	0
245	325	4
3723	4127	73
8	4	0
9	4	2
8233	10166	90
1250	5158	76
918	12963	32
0	8	0
158	1882	20
91	1162	0
0	3	0
0	0	0
21	70	8
0	0	0
1978	1683	8
0	0	0
19559	13790	130
0	0	0
39879	16783	194
0	0	0
0	0	0
159	54	8
18515	476	10
30323	34257	588
0	3	0
1	1	0
0	0	0
0	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1804	1951	28
98	6	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
119	486	8
11624	10770	190
1720	1125	2
9771	9903	155
21080	42501	770
5282	5844	86
10540	13860	258
0	0	0
0	2	0
22467	8032	154
0	0	0
0	0	0
47	58	0
547	417	2
21577	23486	372
0	0	2
0	2	0
1	3	0
0	1	0
0	9	0
0	95	0
122	7	2
0	0	2
0	36	594
3	3	0
3	0	0
1	0	0
0	1	0
21	3	0
5326	98	6
331	354	6
1321	2596	38
0	8	498
3	4	0
6557	7039	39
2591	2892	127
2	0	0
5385	5335	34
0	0	0
50	112	0
0	1	0
0	8	82
14	25	0
0	2	0
1443	577	6
576	105	6
18693	6650	48
0	0	0
0	22	0
146	1836	16
4504	8242	112
2	93	0
53	26	0
0	36	134
0	2	224
0	2	431
0	0	0
0	34	640
0	2	0
0	0	0
34153	45844	320
19300	80646	786
0	26	0
3592	48835	4782
0	0	0
2	0	0
0	0	0
5080	6867	92
2	8	0
2	2	0
0	0	0
1156	3147	36
272	6328	14
61	1792	18
63	683	0
0	2	0
0	13	0
15426	13630	244
0	0	0
377	792	8
0	0	0
326	555	26
6760	8948	168
0	3	0
0	2	0
272	3557	14
4285	30	2
0	0	0
0	0	0
2	37	0
86	28	0
0	0	0
1	1	0
39	8	1
82	138	0
0	0	2
0	2	2
0	0	0
743	1375	44
0	2	0
0	0	0
106	504	3
18	4	0
0	0	0
193	1101	14
4	46	31
0	0	0
6	80	0
9322	5486	111
8128	10588	203
0	2	0
3369	3803	4
8564	9193	109
66016	45075	716
0	0	0
1356	4262	109
4	0	0
0	104	142
375	16	5
17727	26274	70
30	1301	14
2	2	0
16	5	3
9330	6736	96
3730	17851	376
1	13	0
309	3920	306
11602	5905	46
19094	58149	920
0	19	0
1	0	0
0	0	6
0	0	2
0	0	0
1	0	0
0	0	0
0	0	6
24944	33550	640
7648	8095	70
3223	1493	20
1	0	0
30180	1651	22
2813	8035	187
2	4	0
7918	11023	118
33682	8155	178
0	0	0
2	6	0
0	4	0
2	1	0
1	2	0
0	2	1
6657	7550	37
23916	35473	185
2	6	0
10030	10279	158
217	155	7
0	4	0
4	0	0
15	0	0
294	4	0
35	889	0
22	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3273	348	4
0	0	0
36	32	0
0	0	0
256	1170	6
2	1	0
0	0	0
0	0	0
1	0	0
26	15	0
0	0	0
0	16	0
21696	33216	707
368	2563	27
222	1683	17
0	0	0
4	1926	780
5809	3131	604
10901	4798	57
68	78	2
2	188	0
0	0	0
0	2	0
68	73	6
0	0	0
946	9529	126
0	0	0
111	5	0
93	34	20
0	2	0
0	6	2
2517	1147	0
68	2766	46
1	32	0
0	0	2
41160	32076	478
69	0	1
