/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170742.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170744.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/barthii/SRR1170762.sra.uniq.bam
LOC_Os01g02440.MSUR7	0	0	0
LOC_Os01g02460.MSUR7	23	2	11
LOC_Os01g02470.MSUR7	9	6	9
LOC_Os01g02490.MSUR7	0	0	0
LOC_Os01g02500.MSUR7	0	0	0
LOC_Os01g02550.MSUR7	470	10	92
LOC_Os01g02560.MSUR7	1596	20	551
LOC_Os01g02570.MSUR7	1559	11	953
LOC_Os01g02580.MSUR7	1506	0	655
LOC_Os01g02590.MSUR7	683	300	625
LOC_Os01g02600.MSUR7	349	298	271
LOC_Os01g02610.MSUR7	1	2	8
LOC_Os01g02680.MSUR7	1	0	1
LOC_Os01g02690.MSUR7	4	3	24
LOC_Os01g02700.MSUR7	1149	347	1837
LOC_Os01g02710.MSUR7	1747	80	4034
LOC_Os01g02720.MSUR7	1494	744	8023
LOC_Os01g02730.MSUR7	294	382	1155
LOC_Os01g02750.MSUR7	266	353	80
LOC_Os01g02760.MSUR7	695	491	2739
LOC_Os01g02770.MSUR7	252	157	715
LOC_Os01g02780.MSUR7	427	0	2
LOC_Os01g02790.MSUR7	434	49	414
LOC_Os01g02800.MSUR7	673	386	1754
LOC_Os01g02810.MSUR7	23	19	65
LOC_Os01g02830.MSUR7	123	74	317
LOC_Os01g02840.MSUR7	271	217	1107
LOC_Os01g02850.MSUR7	22	3	106
LOC_Os01g02860.MSUR7	43	6	153
LOC_Os01g02870.MSUR7	1018	4	209
LOC_Os01g02880.MSUR7	2939	2374	47978
LOC_Os01g02890.MSUR7	14	100	1541
LOC_Os01g02900.MSUR7	253	235	494
LOC_Os01g02910.MSUR7	6	50	408
LOC_Os01g02920.MSUR7	145	760	3517
LOC_Os01g02930.MSUR7	135	139	1635
LOC_Os01g02940.MSUR7	109	325	6010
LOC_Os01g02950.MSUR7	0	0	33
LOC_Os01g02960.MSUR7	1021	534	9274
LOC_Os01g02980.MSUR7	2	0	303
LOC_Os01g02990.MSUR7	0	0	0
LOC_Os01g03010.MSUR7	0	0	0
LOC_Os01g03020.MSUR7	6086	2397	20705
LOC_Os01g03030.MSUR7	647	209	2480
LOC_Os01g03040.MSUR7	9177	90	7243
LOC_Os01g03050.MSUR7	691	184	3816
LOC_Os01g03060.MSUR7	1286	2238	8755
LOC_Os01g03080.MSUR7	0	0	122
LOC_Os01g03090.MSUR7	959	702	4624
LOC_Os01g03100.MSUR7	954	962	6283
LOC_Os01g03110.MSUR7	1474	1272	12572
LOC_Os01g03130.MSUR7	24	50	2078
LOC_Os01g03144.MSUR7	2229	404	9951
LOC_Os01g03160.MSUR7	473	432	5314
LOC_Os01g03170.MSUR7	2	0	3677
LOC_Os01g03190.MSUR7	0	8	1702
LOC_Os01g03210.MSUR7	0	0	33
LOC_Os01g03220.MSUR7	0	2	49
LOC_Os01g03240.MSUR7	0	0	0
LOC_Os01g03250.MSUR7	0	0	19
LOC_Os01g03260.MSUR7	6	6	149
LOC_Os01g03270.MSUR7	0	0	26
LOC_Os01g03280.MSUR7	0	0	0
LOC_Os01g03290.MSUR7	0	0	0
LOC_Os01g03300.MSUR7	10	0	13
LOC_Os01g03310.MSUR7	15027	3	14052
LOC_Os01g03320.MSUR7	462	3	287
LOC_Os01g03330.MSUR7	96	801	4079
LOC_Os01g03340.MSUR7	271	2850	24198
LOC_Os01g03350.MSUR7	0	0	0
LOC_Os01g03360.MSUR7	53	607	16869
LOC_Os01g03370.MSUR7	2	0	5
LOC_Os01g03380.MSUR7	6	6	88
LOC_Os01g03390.MSUR7	4952	6912	108454
LOC_Os01g03400.MSUR7	0	0	0
LOC_Os01g03410.MSUR7	0	0	2
LOC_Os01g03420.MSUR7	0	0	61
LOC_Os01g03429.MSUR7	0	1	13
LOC_Os01g03464.MSUR7	0	0	0
LOC_Os01g03480.MSUR7	12	0	157
LOC_Os01g03490.MSUR7	2	108	10867
LOC_Os01g03500.MSUR7	335	166	2228
LOC_Os01g03510.MSUR7	668	1142	15866
LOC_Os01g03520.MSUR7	1497	1508	11362
LOC_Os01g03530.MSUR7	12	442	624
LOC_Os01g03549.MSUR7	2279	50	2477
LOC_Os01g03570.MSUR7	493	252	10304
LOC_Os01g03620.MSUR7	0	173	159
LOC_Os01g03630.MSUR7	0	16	5
LOC_Os01g03640.MSUR7	0	28	106
LOC_Os01g03650.MSUR7	2871	426	9336
LOC_Os01g03660.MSUR7	712	80	2429
LOC_Os01g03670.MSUR7	0	2	75
LOC_Os01g03680.MSUR7	204	832	127
LOC_Os01g03690.MSUR7	205	122	1488
LOC_Os01g03710.MSUR7	93	121	1494
LOC_Os01g03720.MSUR7	6	134	427
LOC_Os01g03730.MSUR7	1278	174	4631
LOC_Os01g03740.MSUR7	109	29	1474
LOC_Os01g03750.MSUR7	294	66	3800
LOC_Os01g03760.MSUR7	2356	1747	26833
LOC_Os01g03770.MSUR7	0	0	0
LOC_Os01g03810.MSUR7	98	85	269
LOC_Os01g03820.MSUR7	1853	933	2261
LOC_Os01g03840.MSUR7	0	0	70
LOC_Os01g03870.MSUR7	153	392	4651
LOC_Os01g03890.MSUR7	0	79	14
LOC_Os01g03900.MSUR7	2	8	314
LOC_Os01g03914.MSUR7	2017	3065	14520
LOC_Os01g03930.MSUR7	0	0	2
LOC_Os01g03940.MSUR7	1948	70	4831
LOC_Os01g03950.MSUR7	585	195	7740
LOC_Os01g03960.MSUR7	0	0	0
LOC_Os01g03970.MSUR7	0	0	0
LOC_Os01g03980.MSUR7	164	26	5074
LOC_Os01g03989.MSUR7	0	0	2
LOC_Os01g04000.MSUR7	0	0	0
LOC_Os01g04005.MSUR7	2	0	28
LOC_Os01g04010.MSUR7	1983	393	9242
LOC_Os01g04020.MSUR7	6674	3915	36233
LOC_Os01g04030.MSUR7	825	370	8474
LOC_Os01g04040.MSUR7	61	11	362
LOC_Os01g04050.MSUR7	8205	590	133001
LOC_Os01g04070.MSUR7	415	15	452
LOC_Os01g04080.MSUR7	0	0	818
LOC_Os01g04090.MSUR7	0	6	180
LOC_Os01g04100.MSUR7	284	140	1263
LOC_Os01g04110.MSUR7	782	199	3728
LOC_Os01g04120.MSUR7	161	388	426
LOC_Os01g04130.MSUR7	220	49	370
LOC_Os01g04160.MSUR7	8	68	610
LOC_Os01g04170.MSUR7	2	28	151
LOC_Os01g04190.MSUR7	1056	1750	11970
LOC_Os01g04200.MSUR7	651	320	5347
LOC_Os01g04210.MSUR7	2	2	15
LOC_Os01g04220.MSUR7	1	0	10
LOC_Os01g04230.MSUR7	12	20	312
LOC_Os01g04250.MSUR7	45	74	240
LOC_Os01g04260.MSUR7	4050	810	10316
LOC_Os01g04270.MSUR7	0	0	0
LOC_Os01g04280.MSUR7	796	735	720
LOC_Os01g04290.MSUR7	0	2	7937
LOC_Os01g04300.MSUR7	8	110	688
LOC_Os01g04324.MSUR7	80	16	143
LOC_Os01g04330.MSUR7	1718	212	11002
LOC_Os01g04340.MSUR7	22	0	765
LOC_Os01g04350.MSUR7	6540	526	77560
LOC_Os01g04360.MSUR7	21	2	2585
LOC_Os01g04370.MSUR7	53	2	2646
LOC_Os01g04380.MSUR7	22	0	2334
LOC_Os01g04390.MSUR7	157	4	4920
LOC_Os01g04409.MSUR7	3099	1195	5588
LOC_Os01g04430.MSUR7	0	11	10
LOC_Os01g04440.MSUR7	89	27	58
LOC_Os01g04450.MSUR7	438	639	3483
LOC_Os01g04460.MSUR7	202	114	1056
LOC_Os01g04470.MSUR7	0	0	6
LOC_Os01g04480.MSUR7	17	20	130
LOC_Os01g04490.MSUR7	18	85	194
LOC_Os01g04500.MSUR7	14	15	871
LOC_Os01g04510.MSUR7	0	0	0
LOC_Os01g04520.MSUR7	18	2	8
LOC_Os01g04530.MSUR7	70	12	146
LOC_Os01g04540.MSUR7	51	12	57
LOC_Os01g04550.MSUR7	4155	363	4701
LOC_Os01g04560.MSUR7	0	0	2
LOC_Os01g04570.MSUR7	168	152	985
LOC_Os01g04580.MSUR7	12	86	527
LOC_Os01g04590.MSUR7	295	14	702
LOC_Os01g04600.MSUR7	218	82	1529
LOC_Os01g04610.MSUR7	0	0	0
LOC_Os01g04630.MSUR7	24000	1307	19193
LOC_Os01g04640.MSUR7	442	296	942
LOC_Os01g04650.MSUR7	3918	2906	20672
LOC_Os01g04660.MSUR7	2	9	46
LOC_Os01g04670.MSUR7	74	10	278
LOC_Os01g04690.MSUR7	12	8	77
LOC_Os01g04699.MSUR7	0	0	0
LOC_Os01g04710.MSUR7	22	38	5092
LOC_Os01g04720.MSUR7	72	108	1284
LOC_Os01g04730.MSUR7	1052	1557	22037
LOC_Os01g04740.MSUR7	0	0	0
LOC_Os01g04750.MSUR7	30	48	2
LOC_Os01g04760.MSUR7	0	0	0
LOC_Os01g04800.MSUR7	212	805	66
