/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171629.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171630.sra.uniq.bam	/home/jolyang/dbcenter/OryzaRNAseq/nivara/SRR1171631.sra.uniq.bam
10428	146	21243
2385	12	821
1567	204	649
74	248	13
14	24	240
954	3451	19329
36162	7775	5766
2127	2936	1698
878	1691	524
1390	5238	3319
18	0	2
184	587	192
63	539	790
161	3816	695
3100	4584	12270
2651	957	4449
35	1445	432
34	2768	606
36	1356	1292
72	202	1814
82	228	954
346	1180	3930
2427	3018	6560
6826	10475	11320
602	802	17539
2	8	7
0	0	0
262	205	1923
24093	13240	23787
3950	5100	6175
6635	4055	7151
1183	5807	2341
2	6657	32
92	38	233
6	5	17
8	96	4375
1878	6452	51252
8	80	12321
2814	5158	5977
1458	2	18044
0	30	956
0	0	26
34886	5156	27061
6544	17257	19806
11997	13524	26788
12612	2138	10381
2373	807	1933
3442	0	1354
4384	524	377
7	0	1
22	70	8
3718	6109	6355
37	73	1507
8415	6013	13358
597	1117	3767
0	0	2
134	172	3041
5698	6368	10573
10911	29441	43181
1518	2207	5236
420	423	20695
809	5133	11320
4133	2426	3852
74	285	1533
1	8813	1
1418	2544	5407
1	9	4
1974	2042	1182
235	147	1254
0	1	14
27	91	408
14956	26853	195036
9	79	12
0	2	0
11317	7497	11990
106	641	596
9515	12644	53870
573	27180	15878
5878	6746	12570
2976	26	24793
2	325	29105
0	0	254
7835	7417	13522
7885	19064	27843
7208	29046	15359
25	34	310
13636	12761	21066
9271	38590	70023
14073	55726	65579
6	57	106
17	38	37
192	289	1199
30	121	1240
186	2535	16248
89	22	464
655	1359	1693
0	49	796
469	114	1038
3	0	6
555	1469	2086
2314	5172	8191
0	1	30
3836	11707	26577
0	0	0
51459	64	8337
2413	1845	4827
2923	18802	19435
3315	7069	22976
0	0	58561
1	0	0
6845	10098	26007
9839	10410	19109
24637	59	1677
915	632	3638
0	0	71
0	0	4
814	4599	30589
49	530	2674
49492	14413	10053
3752	2389	5362
284	233	29
23323	192	6712
1	5	8
0	0	92
866	39840	12
5192	9050	45266
5	3	30
35	2	35
92789	8725	6712
4045	10848	40389
1174	1213	6088
8013	14283	18409
47459	52	8621
148553	35367	211403
141939	27367	199082
